station_id,station_name,lat,lon,parameter,last_value,last_updated
13,"Delhi Technological University, Delhi - CPCB",28.744,77.12,no2,40.3,2018-02-22T04:00:00Z
13,"Delhi Technological University, Delhi - CPCB",28.744,77.12,pm25,451.0,2018-02-22T04:00:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,no,3.7,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,o3,40.2,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,pm25,17.0,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,no2,8.4,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,pm10,89.0,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,co,0.31,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,temperature,35.8,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,relativehumidity,38.0,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,so2,0.4,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,wind_speed,1.9,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,wind_direction,198.0,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,nox,0.0075,2026-06-22T10:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,pm10,339.0,2018-02-21T21:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,pm25,201.0,2018-02-21T21:15:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,o3,95.33,2018-01-24T09:30:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,no2,77.6,2018-02-21T20:45:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,co,4300.0,2018-02-21T20:45:00Z
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,so2,56.9,2018-02-21T21:15:00Z
19,MNB,47.929732,106.888629,pm25,167.0,2019-03-13T22:30:00Z
19,MNB,47.929732,106.888629,so2,25.0,2019-03-13T22:30:00Z
19,MNB,47.929732,106.888629,no2,22.0,2019-03-13T22:30:00Z
19,MNB,47.929732,106.888629,o3,28.0,2018-10-19T09:30:00Z
19,MNB,47.929732,106.888629,co,419.0,2018-09-19T09:00:00Z
19,MNB,47.929732,106.888629,pm10,124.0,2019-03-13T22:30:00Z
21,Beijing US Embassy,39.95,116.47,pm25,25.0,2023-08-15T15:00:00Z
23,Amgalan,47.913429,106.99790699999998,no2,33.0,2019-03-13T22:30:00Z
