latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
23.77028,86.40736,316.58,2.26,1.46,2026-06-15,249,T,32,6.1NRT,298.74,18.38,D
20.9678,85.16476,313.77,2.57,1.54,2026-06-15,249,T,61,6.1NRT,292.02,24.55,D
20.9655,85.18874,312.31,2.56,1.54,2026-06-15,249,T,55,6.1NRT,289.72,19.69,D
29.97981,72.67589,319.09,1.13,1.06,2026-06-15,427,T,56,6.1NRT,297.87,7.81,D
30.21059,70.117,329.67,1.0,1.0,2026-06-15,427,T,76,6.1NRT,302.75,18.59,D
29.88993,72.19693,317.53,1.09,1.04,2026-06-15,427,T,50,6.1NRT,299.43,6.6,D
29.8341,72.20159,329.58,1.09,1.04,2026-06-15,427,T,78,6.1NRT,299.92,20.52,D
29.77821,71.54713,322.89,1.04,1.02,2026-06-15,427,T,66,6.1NRT,300.67,10.35,D
29.48878,71.50321,336.57,1.05,1.02,2026-06-15,427,T,84,6.1NRT,300.94,29.38,D
28.04513,68.7047,323.85,1.02,1.01,2026-06-15,427,T,55,6.1NRT,307.66,6.9,D
27.94283,68.36315,324.79,1.04,1.02,2026-06-15,427,T,51,6.1NRT,309.66,7.11,D
27.57621,68.14162,325.92,1.05,1.02,2026-06-15,427,T,64,6.1NRT,310.31,7.45,D
24.64606,68.00201,319.97,1.02,1.01,2026-06-15,429,T,53,6.1NRT,300.68,7.18,D
23.72572,70.74387,323.66,1.11,1.05,2026-06-15,429,T,67,6.1NRT,301.27,10.26,D
23.54243,70.37394,323.34,1.08,1.04,2026-06-15,429,T,62,6.1NRT,303.46,11.84,D
23.48422,69.72359,323.85,1.03,1.01,2026-06-15,429,T,68,6.1NRT,304.65,9.61,D
22.82961,72.15417,331.33,1.34,1.15,2026-06-15,429,T,82,6.1NRT,304.64,25.19,D
22.0175,69.93744,318.67,1.07,1.03,2026-06-15,429,T,57,6.1NRT,298.89,8.91,D
22.05334,69.51853,322.06,1.04,1.02,2026-06-15,429,T,69,6.1NRT,304.48,7.49,D
33.13547,97.92123,303.79,2.0,1.38,2026-06-15,807,A,27,6.1NRT,289.9,7.45,D
12.3613,79.95432,322.61,1.8,1.32,2026-06-15,939,A,38,6.1NRT,297.93,29.45,D
30.7777,73.90043,318.65,2.05,1.39,2026-06-15,945,A,53,6.1NRT,297.58,17.99,D
17.17742,81.09869,317.96,1.24,1.11,2026-06-15,941,A,56,6.1NRT,297.42,6.67,D
17.34703,80.88097,356.22,1.28,1.12,2026-06-15,941,A,98,6.1NRT,300.64,94.49,D
17.34514,80.86949,326.67,1.28,1.12,2026-06-15,941,A,78,6.1NRT,300.95,20.26,D
17.34324,80.85793,328.44,1.28,1.12,2026-06-15,941,A,80,6.1NRT,300.49,23.48,D
17.34134,80.84634,327.06,1.28,1.12,2026-06-15,941,A,78,6.1NRT,299.59,22.42,D
20.96128,86.0061,313.66,1.2,1.09,2026-06-15,941,A,32,6.1NRT,288.12,7.91,D
27.28551,82.5076,328.79,1.02,1.01,2026-06-15,943,A,73,6.1NRT,306.99,11.65,D
27.28412,82.49769,326.23,1.02,1.01,2026-06-15,943,A,61,6.1NRT,306.7,8.75,D
28.10732,80.19903,335.69,1.04,1.02,2026-06-15,943,A,84,6.1NRT,304.27,25.07,D
28.10574,80.1889,336.74,1.04,1.02,2026-06-15,943,A,85,6.1NRT,304.83,26.87,D
28.10344,80.11595,320.13,1.04,1.02,2026-06-15,943,A,55,6.1NRT,303.78,6.01,D
28.18317,80.14577,320.04,1.04,1.02,2026-06-15,943,A,51,6.1NRT,300.47,7.36,D
29.27416,78.96219,322.05,1.11,1.05,2026-06-15,943,A,77,6.1NRT,300.82,9.38,D
30.16128,72.87542,320.05,2.5,1.52,2026-06-15,943,A,56,6.1NRT,296.56,25.18,D
15.17889,76.6678,306.98,1.32,1.14,2026-06-15,1520,T,68,6.1NRT,294.04,4.96,N
15.17708,76.65594,307.98,1.32,1.14,2026-06-15,1520,T,70,6.1NRT,295.45,5.96,N
19.74637,77.50465,314.43,1.06,1.03,2026-06-15,1522,T,87,6.1NRT,299.83,8.28,N
20.97036,85.17327,314.92,2.1,1.41,2026-06-15,1522,T,90,6.1NRT,296.15,26.52,N
20.9787,85.13259,310.14,2.09,1.41,2026-06-15,1522,T,68,6.1NRT,296.25,14.69,N
20.98117,85.12683,308.68,2.09,1.41,2026-06-15,1522,T,50,6.1NRT,296.14,11.79,N
21.19902,72.76186,307.54,1.94,1.36,2026-06-15,1522,T,48,6.1NRT,296.33,9.51,N
28.01601,78.64783,306.15,1.05,1.02,2026-06-15,1524,T,66,6.1NRT,294.38,5.27,N
31.5968,75.16176,309.01,1.02,1.01,2026-06-15,1524,T,71,6.1NRT,296.81,5.6,N
33.03632,74.20545,311.78,1.05,1.02,2026-06-15,1524,T,83,6.1NRT,294.99,9.0,N
33.03467,74.19448,305.74,1.05,1.03,2026-06-15,1524,T,65,6.1NRT,294.68,4.33,N
