latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
15.62761,80.19601,339.63,0.63,0.72,2026-06-15,712,N,nominal,2.0NRT,288.05,11.65,D
17.60677,83.20541,330.2,0.37,0.58,2026-06-15,712,N,nominal,2.0NRT,291.3,4.19,D
17.46709,79.9395,334.45,0.6,0.71,2026-06-15,712,N,nominal,2.0NRT,287.86,5.85,D
17.6023,79.46382,339.99,0.64,0.72,2026-06-15,712,N,nominal,2.0NRT,289.73,5.84,D
18.11338,79.57863,341.97,0.61,0.71,2026-06-15,712,N,nominal,2.0NRT,289.41,6.75,D
19.55129,82.8149,331.49,0.36,0.57,2026-06-15,712,N,nominal,2.0NRT,288.65,2.43,D
19.54799,82.77281,337.84,0.36,0.57,2026-06-15,712,N,nominal,2.0NRT,289.04,3.01,D
19.65612,82.82124,340.14,0.36,0.57,2026-06-15,712,N,nominal,2.0NRT,294.48,2.62,D
19.71776,83.01073,333.73,0.35,0.56,2026-06-15,712,N,nominal,2.0NRT,293.65,2.63,D
20.96388,85.19157,334.64,0.48,0.48,2026-06-15,714,N,nominal,2.0NRT,290.94,7.73,D
20.96996,85.17605,336.36,0.48,0.48,2026-06-15,714,N,nominal,2.0NRT,289.32,10.52,D
20.98029,85.13545,335.86,0.48,0.48,2026-06-15,714,N,nominal,2.0NRT,292.0,5.67,D
20.78169,83.96661,332.59,0.57,0.52,2026-06-15,714,N,nominal,2.0NRT,298.03,2.84,D
20.78167,83.96963,330.67,0.57,0.52,2026-06-15,714,N,nominal,2.0NRT,298.08,1.72,D
21.07891,85.03789,333.84,0.49,0.48,2026-06-15,714,N,nominal,2.0NRT,298.8,8.43,D
21.06665,83.81305,330.59,0.58,0.52,2026-06-15,714,N,nominal,2.0NRT,297.04,2.84,D
21.06571,83.54647,332.0,0.6,0.53,2026-06-15,714,N,nominal,2.0NRT,296.57,5.29,D
21.08154,83.50034,332.56,0.61,0.53,2026-06-15,714,N,nominal,2.0NRT,296.55,4.64,D
21.19689,83.86823,331.95,0.57,0.52,2026-06-15,714,N,nominal,2.0NRT,299.36,4.91,D
20.74154,81.60735,339.6,0.41,0.6,2026-06-15,714,N,nominal,2.0NRT,295.0,6.53,D
21.18814,83.78149,332.46,0.58,0.52,2026-06-15,714,N,nominal,2.0NRT,299.92,4.07,D
20.74,81.60754,348.42,0.41,0.6,2026-06-15,714,N,nominal,2.0NRT,295.43,5.06,D
23.2311,95.5386,330.76,0.5,0.41,2026-06-15,714,N,nominal,2.0NRT,292.15,2.83,D
21.45245,83.81326,334.32,0.57,0.52,2026-06-15,714,N,nominal,2.0NRT,302.4,3.8,D
21.04255,81.6008,355.89,0.4,0.6,2026-06-15,714,N,nominal,2.0NRT,296.19,12.72,D
21.04172,81.59696,355.97,0.4,0.6,2026-06-15,714,N,nominal,2.0NRT,294.77,8.0,D
21.04236,81.60017,367.0,0.4,0.6,2026-06-15,714,N,high,2.0NRT,296.84,13.21,D
21.0415,81.59634,351.12,0.4,0.6,2026-06-15,714,N,nominal,2.0NRT,294.56,7.97,D
